459649	109855	68332
460228	109864	68418
462242	109863	68380
463149	109855	68390
1.01819e+06	165680	199305
1.01988e+06	165988	199384
1.02336e+06	165648	199241
1.02117e+06	165689	199257
1.02157e+06	186180	204693
836	1983	1472
842	1981	1473
833	1993	1477
908	1983	1473
831	1983	1478
21667	11453	5404
22072	11426	5398
21961	11444	5391
21906	11451	5392
21574	11460	5405
90853	24575	18545
90388	24568	18555
91211	24550	18555
91504	24554	18555
91134	24571	18561
207382	38834	27189
207402	39224	27177
208396	38849	27177
208713	39218	27204
208668	39169	27177
369310	64723	55880
370910	64754	55885
368835	64747	55868
368036	64852	55890
369320	64747	55869
829520	121774	126862
829175	121958	127786
829920	121736	126965
823691	121946	127846
830357	121774	126871
857	4425	2363
900	4424	2364
761	4424	2363
743	4426	2361
827	4428	2363
27247	27892	13434
28031	27868	13473
27981	27879	13473
28095	27873	13473
28263	27869	13461
110835	59544	30424
110538	59784	31074
111074	59495	30425
111218	59594	30415
110561	59533	30422
247368	90216	45753
245810	90006	45101
246981	90008	45120
247351	90051	45230
246874	90017	45067
431330	119707	70572
431755	119698	70581
428715	119714	70587
431372	119603	70592
429713	119682	70594
965157	186363	196488
964374	209272	200989
961014	186554	196386
963206	186097	196457
961463	186800	197568
1306	4365	2255
1386	4368	2253
1367	4365	2256
1272	4364	2579
1279	4364	2254
32759	22252	11343
32892	22251	11336
32184	22245	11336
32122	22254	11338
32160	22240	11342
124820	40986	23316
125944	40989	23319
124206	40984	23311
124674	41202	23755
124555	40995	23307
275872	66862	37739
275898	67045	38578
275270	66848	37734
275878	66835	37747
275404	66826	37726
479579	86965	67686
480994	86927	67684
481555	86941	67661
481607	87086	68290
477701	86886	67817
1.0608e+06	151047	178369
1.06329e+06	151077	178442
1.06387e+06	151042	178331
1.06436e+06	151065	178399
1.06113e+06	173508	183374
1095	5085	2977
1127	5081	2975
1096	5084	2971
1100	5086	2963
1097	5079	2960
27696	24440	13042
26568	24250	12579
27085	24248	12601
26563	24428	12904
27696	24246	12577
106823	49712	24775
106988	49485	24321
106446	49491	24311
106932	49496	24308
106010	49483	24328
237209	80049	41478
236607	80188	42128
236010	79995	41439
234850	80145	42121
236616	79951	41486
420390	99996	65819
416431	100155	65875
418412	100145	65785
418852	100021	65832
417430	100192	65795
920074	162332	178435
918194	162438	179582
915849	162172	178382
920474	162291	178507
919069	162264	178486
1111	1957	1386
1113	1939	1386
1092	1938	1381
1095	1939	1384
1134	1961	1711
27019	10394	5280
27394	10364	5284
27918	10434	5291
27505	10428	5287
27364	10421	5285
115673	24286	17162
115359	24292	17183
114469	24276	17173
114291	24785	17363
116181	24288	17169
259440	37491	26419
258394	37489	26404
260589	37502	26404
259582	37680	27033
258863	37510	26523
459176	61198	53917
461219	61024	53901
461832	61141	53929
459130	61105	53949
457781	61367	54548
1.05294e+06	143373	127247
1.05134e+06	124436	121787
1.04562e+06	124392	121783
1.04577e+06	124446	121831
1.05052e+06	124429	121664
463	2510	1229
465	2505	1231
467	2504	1231
500	2596	1229
465	2508	1231
26730	24003	11024
26660	24001	10819
26474	24036	10816
26274	24038	10805
26438	24007	10826
109100	49236	30456
109310	49134	30221
108805	49213	30464
108742	49181	30676
109474	49168	30666
248887	73696	45641
250053	73606	45637
248231	73649	45647
248443	73658	45662
248945	73631	45675
446241	101522	81768
445458	101537	81796
445517	101562	81802
445807	101537	81784
444482	101738	82426
1.00241e+06	203513	198675
1.00402e+06	223035	201212
1.00676e+06	203460	198959
1.00261e+06	203433	199228
1.00477e+06	203501	199267
658	1029	594
937	5143	2846
481	2916	1440
